bucket,created_at,mimetype,object_key,owner,size_bytes,updated_at
deet-media,2026-04-19 02:58:45.920728+00:00,image/webp,029bb89b-cdaa-4975-a333-751ab2f0827d/barca-fans-1776492897464/deets/1776567525337-814dc8ec-5621-402c-acdc-9aca2bcb916a.webp,029bb89b-cdaa-4975-a333-751ab2f0827d,293050,2026-04-19 02:58:45.920728+00:00
deet-media,2026-04-20 01:45:18.721561+00:00,image/jpeg,029bb89b-cdaa-4975-a333-751ab2f0827d/barca-fans-1776492897464/deets/1776649518962-b6cd22f1-b066-4c55-8530-92f9b8f92e64.jpg,029bb89b-cdaa-4975-a333-751ab2f0827d,19344,2026-04-20 01:45:18.721561+00:00
deet-media,2026-04-20 01:49:48.840907+00:00,image/jpeg,029bb89b-cdaa-4975-a333-751ab2f0827d/barca-fans-1776492897464/deets/1776649788804-10f4bfaa-d5cc-4f42-a924-05217332c769.jpg,029bb89b-cdaa-4975-a333-751ab2f0827d,650858,2026-04-20 01:49:48.840907+00:00
deet-media,2026-04-20 04:18:30.575102+00:00,image/jpeg,029bb89b-cdaa-4975-a333-751ab2f0827d/barca-fans-1776492897464/deets/1776658710800-bc9a5bde-8744-4123-9165-5123849416b8.jpg,029bb89b-cdaa-4975-a333-751ab2f0827d,70226,2026-04-20 04:18:30.575102+00:00
deet-media,2026-04-20 04:19:34.932078+00:00,image/jpeg,029bb89b-cdaa-4975-a333-751ab2f0827d/barca-fans-1776492897464/deets/1776658775241-d6144098-10a5-43f9-b1ab-561215e0012d.jpg,029bb89b-cdaa-4975-a333-751ab2f0827d,70226,2026-04-20 04:19:34.932078+00:00
deet-media,2026-04-28 00:11:49.867972+00:00,application/pdf,029bb89b-cdaa-4975-a333-751ab2f0827d/barca-fans-1776492897464/files/1777335110013-c687f546-udeets.pdf,029bb89b-cdaa-4975-a333-751ab2f0827d,206146,2026-04-28 00:11:49.867972+00:00
deet-media,2026-04-28 00:06:56.962531+00:00,application/pdf,7c0e44bd-8680-4dd3-9380-189e662549df/1777334817084-uDeets.pdf,029bb89b-cdaa-4975-a333-751ab2f0827d,206146,2026-04-28 00:06:56.962531+00:00
deet-media,2026-04-25 02:48:55.743128+00:00,image/jpeg,c38c7f32-204e-4e02-a0a6-d2769f088330/honestrestaurantva/deets/1777085336335-37bf422d-6bbf-4f77-99d7-fad716f13739.jpg,c38c7f32-204e-4e02-a0a6-d2769f088330,111318,2026-04-25 02:48:55.743128+00:00
deet-media,2026-04-25 03:37:22.239453+00:00,image/webp,c38c7f32-204e-4e02-a0a6-d2769f088330/honestrestaurantva/deets/1777088242436-5c436b1f-82fd-4d73-a526-776345e60fda.webp,c38c7f32-204e-4e02-a0a6-d2769f088330,106474,2026-04-25 03:37:22.239453+00:00
deet-media,2026-04-25 03:46:20.126645+00:00,image/webp,c38c7f32-204e-4e02-a0a6-d2769f088330/honestrestaurantva/deets/1777088780453-ed01eaf4-e112-4e69-9940-eb8db3e7d761.webp,c38c7f32-204e-4e02-a0a6-d2769f088330,38218,2026-04-25 03:46:20.126645+00:00
